GeneID	expCompName	USD
10287	30223_30224	D
3091	30223_30224	DD
3959	30223_30224	D
8914	30223_30224	D
55247	30223_30224	D
5334	30223_30224	SS
57019	30223_30224	SS
100	30223_30224	SS
776	30223_30224	SS
1479	30223_30224	SS
3101	30223_30224	SS
3385	30223_30224	SS
4638	30223_30224	SS
4931	30223_30224	SS
6647	30223_30224	SS
7347	30223_30224	SS
7701	30223_30224	SS
9588	30223_30224	SS
10163	30223_30224	SS
23218	30223_30224	SS
26009	30223_30224	SS
30850	30223_30224	SS
114823	30223_30224	SS
131583	30223_30224	SS
341880	30223_30224	SS
107	30223_30224	SS
845	30223_30224	SS
2595	30223_30224	SS
3033	30223_30224	SS
8776	30223_30224	SS
9422	30223_30224	SS
9843	30223_30224	SS
10721	30223_30224	SS
22801	30223_30224	SS
51162	30223_30224	SS
55336	30223_30224	SS
58985	30223_30224	SS
64708	30223_30224	SS
85446	30223_30224	SS
129607	30223_30224	SS
165055	30223_30224	SS
171024	30223_30224	SS
283310	30223_30224	SS
388564	30223_30224	SS
388951	30223_30224	SS
653437	30223_30224	SS
101060825	30223_30224	SS
5134	30223_30224	SS
8495	30223_30224	SS
9861	30223_30224	SS
10019	30223_30224	SS
10465	30223_30224	SS
23390	30223_30224	SS
23753	30223_30224	SS
27095	30223_30224	SS
55625	30223_30224	SS
58528	30223_30224	SS
201625	30223_30224	SS
285527	30223_30224	SS
1562	30223_30224	SS
3815	30223_30224	SS
4237	30223_30224	SS
5462	30223_30224	SS
6855	30223_30224	SS
10333	30223_30224	SS
25914	30223_30224	SS
26133	30223_30224	SS
56890	30223_30224	SS
56971	30223_30224	SS
64753	30223_30224	SS
80036	30223_30224	SS
83940	30223_30224	SS
84513	30223_30224	SS
84627	30223_30224	SS
147184	30223_30224	SS
259307	30223_30224	SS
286464	30223_30224	SS
400954	30223_30224	SS
4744	30223_30224	SS
11217	30223_30224	DD
162	30223_30224	SS
163	30223_30224	SS
2073	30223_30224	SS
100533467	30223_30224	SS
80097	30223_30224	SS
653784	30223_30224	SS
10495	30223_30224	SS
55068	30223_30224	SS
121391	30223_30224	SS
7020	30223_30224	SS
91661	30223_30224	SS
400966	30223_30224	SS
729857	30223_30224	SS
5527	30223_30224	SS
2103	30223_30224	SS
100526694	30223_30224	SS
1432	30223_30224	SS
2298	30223_30224	SS
5599	30223_30224	SS
5600	30223_30224	SS
5601	30223_30224	SS
5602	30223_30224	SS
5603	30223_30224	SS
6300	30223_30224	SS
9094	30223_30224	SS
84747	30223_30224	SS
85366	30223_30224	SS
91807	30223_30224	SS
158586	30223_30224	SS
340156	30223_30224	SS
80755	30223_30224	SS
100885850	30223_30224	SS
23779	30223_30224	SS
553158	30223_30224	SS
10620	30223_30224	UU
5916	30223_30224	U
10656	30223_30224	UU
23043	30223_30224	SS
50488	30223_30224	SS
81931	30223_30224	U
5526	30223_30224	SS
253738	30223_30224	SS
2774	30223_30224	SS
2779	30223_30224	SS
2780	30223_30224	SS
346562	30223_30224	SS
477	30223_30224	SS
478	30223_30224	SS
491	30223_30224	SS
492	30223_30224	SS
493	30223_30224	SS
5899	30223_30224	SS
6875	30223_30224	SS
100527949	30223_30224	SS
55692	30223_30224	SS
11034	30223_30224	SS
93986	30223_30224	SS
6237	30223_30224	SS
8601	30223_30224	SS
26575	30223_30224	SS
29114	30223_30224	SS
50861	30223_30224	SS
50943	30223_30224	SS
81551	30223_30224	SS
84940	30223_30224	SS
90957	30223_30224	SS
338557	30223_30224	SS
387332	30223_30224	SS
728763	30223_30224	SS
5313	30223_30224	SS
5575	30223_30224	SS
26024	30223_30224	SS
7168	30223_30224	SS
7169	30223_30224	SS
161	30223_30224	SS
1456	30223_30224	SS
2803	30223_30224	SS
2869	30223_30224	SS
3106	30223_30224	SS
4143	30223_30224	SS
4603	30223_30224	SS
4776	30223_30224	SS
5531	30223_30224	SS
5868	30223_30224	SS
5869	30223_30224	SS
9208	30223_30224	SS
23433	30223_30224	SS
25984	30223_30224	SS
51421	30223_30224	SS
53944	30223_30224	SS
54474	30223_30224	SS
55345	30223_30224	SS
57180	30223_30224	SS
57381	30223_30224	SS
80320	30223_30224	SS
119587	30223_30224	SS
144501	30223_30224	SS
221833	30223_30224	SS
100131390	30223_30224	SS
1400	30223_30224	SS
4688	30223_30224	SS
9575	30223_30224	SS
1809	30223_30224	SS
4619	30223_30224	SS
4620	30223_30224	SS
4625	30223_30224	SS
8125	30223_30224	SS
8735	30223_30224	SS
57541	30223_30224	SS
57593	30223_30224	SS
57644	30223_30224	SS
59269	30223_30224	UU
2353	30223_30224	UU
2119	30223_30224	UU
4791	30223_30224	UU
1959	30223_30224	UU
8013	30223_30224	UU
2118	30223_30224	U
6891	30223_30224	U
10379	30223_30224	U
83444	30223_30224	U
283248	30223_30224	U
2959	30223_30224	U
6738	30223_30224	U
7741	30223_30224	U
8568	30223_30224	U
9329	30223_30224	U
9694	30223_30224	U
25799	30223_30224	U
27069	30223_30224	U
28957	30223_30224	U
83743	30223_30224	U
90390	30223_30224	U
387032	30223_30224	U
1960	30223_30224	U
6625	30223_30224	UU
6890	30223_30224	UU
2354	30223_30224	U
5467	30223_30224	U
9841	30223_30224	U
919	30223_30224	U
2321	30223_30224	U
7589	30223_30224	U
9440	30223_30224	U
9658	30223_30224	U
23353	30223_30224	U
27338	30223_30224	U
51497	30223_30224	U
55215	30223_30224	U
65008	30223_30224	U
83931	30223_30224	U
10298	30223_30224	U
57144	30223_30224	U
1746	30223_30224	U
1749	30223_30224	U
